run,T,beta_max,step,beta,elapsed,simple_acc,simple_kl,simple_rcr,nested_acc,nested_kl,nested_rcr,random_acc,random_kl,random_rcr
main_b01,8,0.1,100,0.00659,3.3,0.9261,13.7211,3.0944,0.7041,6.9997,2.7444,0.1261,2.5703,2.7105
main_b01,8,0.1,200,0.013189,6.5,0.9639,11.3186,2.9437,0.938,6.3234,2.6323,0.1265,1.7612,2.6867
main_b01,8,0.1,300,0.019673,9.7,0.9516,8.5882,2.829,0.9525,6.2884,2.5574,0.1234,1.7292,2.5974
main_b01,8,0.1,400,0.02599,12.9,0.9643,6.7062,2.7142,0.9419,5.8837,2.5104,0.1201,1.8305,2.5488
main_b01,8,0.1,500,0.032091,16.1,0.9248,5.8981,2.6945,0.976,5.2346,2.4986,0.1255,1.8365,2.4988
main_b01,8,0.1,600,0.037938,19.4,0.9497,4.076,2.5658,0.9493,3.9832,2.4171,0.1258,1.9084,2.4935
main_b01,8,0.1,700,0.043496,22.6,0.9627,3.6419,2.5687,0.9364,3.7537,2.4461,0.1213,1.9717,2.4443
main_b01,8,0.1,800,0.048742,25.9,0.9259,2.9408,2.4921,0.9783,2.7731,2.2937,0.1259,2.1701,2.4505
main_b01,8,0.1,900,0.053658,29.4,0.9259,2.8261,2.4901,0.9783,2.7705,2.3516,0.1263,2.1902,2.4091
main_b01,8,0.1,1000,0.058234,32.8,0.9762,2.6804,2.4953,0.9291,2.8802,2.4035,0.1249,2.2652,2.4019
main_b01,8,0.1,1100,0.062469,36.2,0.9486,2.7844,2.4918,0.9469,2.5579,2.344,0.1291,2.2287,2.3347
main_b01,8,0.1,1200,0.066366,39.7,1.0,2.6253,2.5048,0.9,2.6837,2.4219,0.1263,2.277,2.3125
main_b01,8,0.1,1300,0.069934,43.1,0.9873,2.264,2.4243,0.9106,2.2313,2.3161,0.1257,2.3443,2.2807
main_b01,8,0.1,1400,0.073183,46.5,0.9259,2.3922,2.4532,0.9783,2.3221,2.3486,0.1251,2.3617,2.2256
main_b01,8,0.1,1500,0.076131,49.9,0.9881,2.1829,2.4219,0.9129,2.2784,2.3749,0.1247,2.3547,2.1992
main_b01,8,0.1,1600,0.078795,53.4,0.9635,2.2798,2.4619,0.942,2.3209,2.4288,0.1244,2.3689,2.1869
main_b01,8,0.1,1700,0.081193,56.8,0.9623,2.3715,2.4429,0.9387,2.3206,2.3678,0.1219,2.4902,2.1791
main_b01,8,0.1,1800,0.083345,60.4,0.9633,2.0763,2.3576,0.9369,2.1529,2.3283,0.126,2.4772,2.1684
main_b01,8,0.1,1900,0.085271,63.8,0.9743,2.308,2.4858,0.9258,2.2506,2.4142,0.1239,2.4749,2.1455
main_b01,8,0.1,2000,0.08699,67.2,0.9623,2.1714,2.4068,0.9387,2.0755,2.3383,0.1221,2.5905,2.125
main_b01,8,0.1,2100,0.088521,70.7,0.9747,2.1679,2.4212,0.9274,2.1885,2.3954,0.1235,2.5433,2.1114
main_b01,8,0.1,2200,0.089881,74.1,1.0,2.1868,2.4337,0.9,2.1323,2.4155,0.1292,2.4609,2.0493
main_b01,8,0.1,2300,0.091088,77.6,0.9259,1.9621,2.287,0.9783,1.9185,2.2239,0.1214,2.5234,2.0251
main_b01,8,0.1,2400,0.092157,81.1,0.9613,2.1105,2.3565,0.9363,2.0891,2.3347,0.1213,2.6254,2.0469
main_b01,8,0.1,2500,0.093102,84.6,0.9484,2.0915,2.3334,0.9475,2.0723,2.3297,0.1241,2.6108,2.0143
